Points;x;y;z
01_02_P586;999.923;1980.503;103.213
01_02_P585;999.648;1980.088;103.392
01_02_P584;999.758;1980.809;103.421
01_02_P583;999.856;1981.457;103.438
01_02_P582;999.973;1982.247;103.447
01_02_P581;1000.075;1982.963;103.445
01_02_P580;1001.406;1983.929;102.838
01_02_P579;1001.34;1983.298;102.837
01_02_P578;1001.258;1982.527;102.829
01_02_P577;1001.165;1981.678;102.808
01_02_P576;1001.099;1981.026;102.785
01_02_P575;1000.87;1980.561;102.966
01_02_P574;1000.928;1981.091;102.989
01_02_P573;1001.013;1981.883;103.014
01_02_P572;1001.109;1982.78;103.029
01_02_P571;1001.168;1983.363;103.031
01_02_P570;1000.952;1982.932;103.2
01_02_P569;1000.816;1981.644;103.176
01_02_P568;1000.889;1982.322;103.191
01_02_P567;1000.724;1980.829;103.142
01_02_P566;1000.647;1980.134;103.108
01_02_P565;1000.432;1979.699;103.276
01_02_P564;1000.478;1980.113;103.301
01_02_P563;1000.552;1980.781;103.334
01_02_P562;1000.672;1981.881;103.369
01_02_P561;1000.725;1982.487;103.388
01_02_P560;1001.33;1982.202;103.359
01_02_P559;1001.245;1981.599;103.343
01_02_P558;1001.144;1980.886;103.318
01_02_P557;1001.022;1980.029;103.275
01_02_P556;1000.927;1979.366;103.236
01_02_P555;1001.093;1979.841;103.071
01_02_P554;1001.155;1980.269;103.097
01_02_P553;1001.278;1981.131;103.138
01_02_P552;1001.404;1982.047;103.167
01_02_P551;1001.498;1982.737;103.181
01_02_P550;1001.65;1983.17;103.014
01_02_P549;1001.565;1982.546;103.005
01_02_P548;1001.458;1981.767;102.986
01_02_P547;1001.352;1980.99;102.957
01_02_P546;1001.257;1980.304;102.926
